brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,Touchscreen,msoffice,rating,Price
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,2,34649
Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,38999
Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,0,No,No,3,39999
ASUS,Intel,Core i5,10,8,DDR4,512,0,Windows,2,No,No,3,69990
ASUS,Intel,Celeron Dual,11,4,DDR4,0,512,Windows,0,No,No,3,26990
ASUS,Intel,Celeron Dual,11,4,DDR4,0,512,Windows,0,No,No,3,22990
ASUS,Intel,Celeron Dual,11,4,DDR4,0,512,Windows,0,No,No,3,21990
ASUS,Intel,Core i5,10,8,DDR4,0,1024,Windows,2,No,No,3,58799
Lenovo,Intel,Core i5,10,4,DDR4,0,1024,Windows,0,No,No,3,49999
acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,4,No,No,4,59990
acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,6,No,No,4,93700
acer,AMD,Ryzen 5,10,4,DDR4,0,512,Windows,4,No,No,4,72990
Avita,Intel,Celeron Dual,11,4,DDR4,0,512,Windows,0,No,No,3,17490
ASUS,Intel,Celeron Dual,11,4,DDR4,0,512,Windows,0,No,No,3,22990
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,No,3,35990
HP,Intel,Core i3,11,8,DDR4,256,0,Windows,0,Yes,No,3,56490
HP,Intel,Core i5,11,8,DDR4,256,0,Windows,0,No,No,3,65390
Lenovo,Intel,Celeron Dual,11,4,DDR4,256,0,Windows,0,No,No,4,31999
HP,Intel,Celeron Dual,11,8,DDR4,256,0,Windows,0,No,No,4,32490
Lenovo,Intel,Celeron Dual,11,4,DDR4,256,0,Windows,0,No,No,3,31799
ASUS,Intel,Celeron Dual,11,4,DDR4,256,0,Windows,0,No,No,4,29890
ASUS,Intel,Celeron Dual,11,4,DDR4,0,1024,Windows,0,No,No,3,23990
HP,Intel,Core i3,7,4,DDR4,0,1024,Windows,0,No,No,4,32955
HP,Intel,Core i5,7,4,DDR4,0,1024,Windows,2,No,No,4,46200
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,No,4,34429
Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,0,No,Yes,4,37990
ASUS,Intel,Core i3,11,4,DDR4,256,0,Windows,0,No,Yes,4,35990
ASUS,Intel,Core i3,10,8,DDR4,256,0,Windows,0,No,No,4,33980
HP,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,Yes,4,39990
DELL,Intel,Core i3,10,8,DDR4,256,0,Windows,0,No,Yes,4,39490
HP,Intel,Core i3,11,8,DDR4,256,0,Windows,0,Yes,Yes,4,53990
acer,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,3,38990
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,4,37990
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,Yes,4,37890
Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,4,38990
Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,0,No,No,4,37990
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,Yes,3,41990
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,4,45990
Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,4,39990
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,4,42490
DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,0,No,Yes,4,36990
Lenovo,Intel,Core i3,11,8,DDR4,256,0,Windows,0,Yes,Yes,4,53990
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,4,36990
Lenovo,Intel,Core i3,10,4,DDR4,256,0,Windows,0,No,No,4,38940
DELL,Intel,Core i3,10,4,DDR4,256,0,Windows,0,No,Yes,4,39490
ASUS,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,4,45990
Lenovo,Intel,Core i3,10,8,DDR4,256,0,Windows,0,No,Yes,5,39999
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,0,No,No,4,42990
DELL,Intel,Core i3,11,8,DDR4,256,0,Windows,0,Yes,No,4,49990
